acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI507521,I,D,P,T,E,N,Br,I,Br,Br,41.6,19.7,55.5,8.5,26002.0,701.0,902.0,47.0,902.0,1.0,2.0,19.0,1.66,Wase date cha
PI507522,0,D,P,T,E,N,Br,I,Bl,Bl,45.0,19.7,54.0,8.6,26001.0,630.0,828.0,36.0,828.0,1.0,2.0,18.9,0.68,Wase Kuro Daizu
PI507523,III,D,P,T,A,Ssp,Br,I,Bl,Bl,43.0,20.3,52.8,9.3,26002.0,726.0,1006.0,72.0,1006.0,2.8,2.0,32.2,2.24,Wase kuro mame
PI507524,I,D,W,T,Sa,N,Br,I,Gn,Bl,42.5,18.9,48.4,7.7,26002.0,630.0,831.0,33.0,831.0,1.0,2.0,25.3,1.74,Wase midori
PI507525A,0,D,W,T,E,Ssp,Br,I,Gn,Bl,41.2,20.0,48.6,8.4,26001.0,711.0,925.0,48.0,925.0,2.0,2.5,27.2,0.82,Wase Midori
PI507525B,0,D,W,T,E,Ssp,Br,I,Gn,Bl,41.1,19.5,50.5,9.5,26001.0,715.0,922.0,58.0,922.0,2.0,2.5,27.9,0.6,Wase Midori
PI507526,II,D,W,G,E,Ssp,Tn,I,Y,Y,44.3,17.4,47.3,8.0,26002.0,711.0,913.0,63.0,913.0,2.0,2.0,23.8,2.61,Wase oosaya
PI507527,IV,D,W,G,Sa,Ssp,Tn,I,Y,Y,45.7,16.8,57.8,10.2,26002.0,726.0,1011.0,82.0,1011.0,3.0,2.5,18.7,1.19,Wase oosaya
PI507531,II,D,W,G,E,N,Tn,D,Y,Y,44.1,16.1,48.5,8.2,26002.0,708.0,908.0,61.0,908.0,1.5,2.0,21.5,2.45,Waseshu 2
PI507532,V,D,P,T,A,Ssp,Br,D,Gn,Br,40.3,19.6,56.1,6.8,492323.0,630.0,921.0,62.0,921.0,2.5,3.0,21.0,2.03,Watanabeshu Yamagata
PI507533,VI,D,P,T,Sa,Ssp,Br,I,Gn,Bl,42.7,17.9,55.6,7.5,491453.0,719.0,1012.0,74.0,1012.0,3.0,2.3,18.4,1.33,Yachino Zairai Ao Mame
PI507534,V,D,W,G,Sa,Ssp,Br,I,Y,Y,40.8,18.6,53.8,5.7,492323.0,622.0,1001.0,36.0,1001.0,2.0,3.0,19.7,1.65,Yagi
PI507535,IV,D,P,T,E,Ssp,Br,I,Y,Br,42.4,18.3,57.0,9.5,26002.0,729.0,1011.0,87.0,1011.0,2.8,2.0,19.1,1.44,Yagi mame
PI507536,VI,D,P,G,A,N,Br,I,Gn,Bf,41.2,18.1,56.0,7.6,491453.0,716.0,1007.0,78.0,1007.0,2.5,2.0,25.0,1.0,Yahagi Daizu
PI507537,VI,D,P,T,A,Ssp,Br,I,Y,Lbr,42.8,19.7,57.1,6.1,492323.0,623.0,1005.0,68.0,1005.0,3.0,3.0,18.0,1.84,Yahagi daizu
PI507538,VII,D,P,T,A,N,Br,I,Y,Br,42.5,19.1,57.3,6.9,491454.0,731.0,1022.0,35.0,1022.0,1.0,2.8,16.6,0.79,Yahagi Aichi
PI507539,VII,D,W,G,Sa,N,Tn,I,Y,Bf,44.7,18.2,55.9,8.2,491454.0,726.0,1022.0,98.0,1022.0,2.0,2.3,14.4,1.78,Yama Aki Daizu
PI507540,IV,D,W,G,A,N,Tn,I,Y,Y,42.1,20.0,58.6,9.4,26002.0,730.0,1013.0,67.0,1013.0,1.4,2.5,22.2,2.02,Yama shirotama
PI507541,IV,D,W,T,A,Ssp,Br,D,Gn,Br,42.3,18.9,54.1,8.7,26002.0,725.0,1012.0,65.0,1012.0,1.9,2.2,21.5,2.36,Yamagata tanryoku
PI507542,VIII,D,P,G,A,N,Tn,I,Y,Bf,44.5,18.7,57.3,7.0,491454.0,810.0,1102.0,97.0,1102.0,2.0,2.8,16.8,2.08,Yamaguchi Aki Daizu
PI507545,V,D,P,T,A,N,Br,I,Y,Br,42.0,19.6,54.3,6.0,492323.0,626.0,915.0,53.0,915.0,3.0,2.8,19.0,2.43,Yamaoki
PI507546,VII,D,P,G,A,N,Br,I,Y,Bf,43.9,19.2,54.3,6.1,491454.0,806.0,1024.0,81.0,1024.0,2.0,3.0,25.1,2.16,Yamato Zairai
PI507547,0,D,P,T,E,N,Br,I,Y,Br,43.1,18.6,57.2,9.4,26001.0,714.0,927.0,56.0,927.0,3.0,2.0,17.4,1.17,Yamauchi Daizu
PI507548,III,D,P,T,Sa,N,Br,I,Y,Br,44.5,16.2,56.0,10.0,26002.0,719.0,924.0,78.0,924.0,3.3,2.0,11.2,1.25,Yatsufusa
PI507549,V,D,P,G,Sa,Ssp,Br,I,Gn,Dib,44.9,18.4,52.6,6.7,492323.0,626.0,927.0,59.0,927.0,2.5,3.3,23.8,1.61,Yodamurasan
PI507550,V,D,P,G,A,Ssp,Br,I,Y,Y,40.4,21.8,52.2,5.8,492323.0,625.0,924.0,60.0,924.0,2.0,3.3,24.4,1.59,Yonezawa zairai
PI507551,V,D,W,T,Sa,N,Tn,D,Y,Br,41.9,19.9,54.2,6.7,492323.0,626.0,925.0,56.0,925.0,3.0,3.0,13.8,1.7,Yonryuukou
PI507552,II,D,W,T,A,N,Tn,D,Y,Br,41.2,17.7,53.5,8.9,26002.0,718.0,917.0,73.0,917.0,2.8,1.5,10.4,2.15,Yore
PI507553,IV,D,Dp,-,C,N,Br,I,Y,Br,42.5,18.6,55.3,8.6,26002.0,727.0,1005.0,63.0,1005.0,2.4,2.2,15.3,1.61,Yorimachi zairai 1
PI507554,III,D,P,T,E,N,Br,I,Gn,Bl,42.3,19.2,57.2,9.7,26002.0,706.0,925.0,38.0,925.0,1.0,2.0,23.2,1.81,Yoshioka dairyuu
PI507555,III,D,P,T,E,N,Br,I,Gn,Bl,42.0,19.7,57.5,8.9,26002.0,707.0,924.0,39.0,924.0,1.0,2.0,18.7,1.83,Yoshioka tairyuu
PI507556,VII,D,P,G,Sa,N,Tn,I,Y,Lbf,43.6,18.7,57.8,6.8,491454.0,809.0,1018.0,87.0,1018.0,3.0,2.0,19.5,1.91,Yuda
PI507557,VI,D,P,G,A,N,Br,I,Y,Bf,43.5,19.8,56.5,6.8,491453.0,725.0,1007.0,50.0,1007.0,2.0,2.0,16.8,0.82,Yuda YL
PI507558,VI,D,P,T,Sa,Ssp,Br,I,Gn,Bl,42.2,18.7,51.8,7.2,491453.0,719.0,1007.0,63.0,1007.0,1.5,2.5,22.8,1.02,Yugaki Mame Chichibu
PI507559,VI,D,P,T,E,N,Br,I,Gn,Gn,44.2,17.2,59.7,7.3,491453.0,716.0,1022.0,65.0,1022.0,2.0,2.8,25.1,0.81,Yugaki Mame Ryoukami
PI507560,V,D,P,T,A,Ssp,Br,I,Y,Br,41.7,18.8,52.7,6.5,492323.0,621.0,928.0,57.0,928.0,2.0,3.8,15.8,1.49,Yukihera
PI507561,VII,D,P,T,Sa,N,Br,D,Bl,Bl,44.9,19.9,53.4,7.3,491454.0,721.0,1103.0,69.0,1103.0,2.0,2.8,39.0,0.84,Yukikorogashi
PI507562,VII,D,P,G,A,N,Tn,I,Y,Bf,45.9,17.9,55.5,6.4,491454.0,814.0,1028.0,74.0,1028.0,1.0,3.0,25.0,2.18,Yukikorogashi Kashima
PI507563,IV,D,P,T,E,Ssp,Bl,I,Y,Br,43.3,19.9,52.2,7.4,26002.0,716.0,1001.0,49.0,1001.0,1.8,2.2,15.7,1.28,Yukinoshita
PI507564,IV,D,W,G,E,Ssp,Br,I,Gn,Gn,42.8,19.8,55.5,8.9,26002.0,714.0,1007.0,59.0,1007.0,1.4,2.5,38.1,1.64,Yukinoshita
PI507565,0,D,P,T,E,N,Br,I,Gn,Bl,48.5,15.8,54.9,8.7,26001.0,703.0,829.0,36.0,829.0,1.5,3.0,17.3,0.7,Yukinoshita
PI507566,V,D,P,G,Sa,N,Br,D,Gn,Gn,46.0,20.5,57.6,5.8,492323.0,623.0,925.0,48.0,925.0,3.0,3.3,25.6,1.79,Yukinoshita mame
PI507567,0,D,P,T,E,N,Br,I,Gn,Bl,47.2,16.1,52.0,5.7,26001.0,629.0,829.0,28.0,829.0,1.0,2.5,18.1,0.23,Yukiwari Mame
PI507568,VII,D,P,G,Sa,N,Tn,S,Y,Lbf,45.5,17.5,55.4,6.6,491454.0,809.0,1014.0,88.0,1014.0,1.5,2.5,17.6,1.37,Yuta
PI507569,IV,D,W,G,Sa,N,Br,I,Bf,Bf,46.5,16.1,55.0,9.0,26002.0,728.0,1013.0,70.0,1013.0,2.6,2.0,17.7,1.3,Yuumou shinnamon
PI507570,III,D,W,G,E,Ssp,Br,I,Y,Y,41.4,19.6,50.4,8.3,26002.0,707.0,920.0,48.0,920.0,1.0,2.5,33.5,1.68,Yuuzuru
PI507572,VII,D,W,T,Sa,Ssp,Br,D,Bl,Bl,43.7,18.7,58.7,7.2,491454.0,808.0,1031.0,87.0,1031.0,3.0,2.8,22.6,1.8,Zairai Kuro Daizu
PI507573,IV,D,Dp,T,A,Ssp,Br,I,Y,Br,41.0,17.9,57.4,9.9,26002.0,728.0,1012.0,86.0,1012.0,3.5,2.0,17.8,1.18,Zairai misonimame
PI507574,VIII,D,P,G,A,N,Br,I,Y,Bf,48.2,15.1,57.2,7.8,491454.0,807.0,1103.0,99.0,1103.0,3.5,3.5,15.9,0.76,Zairaishu Aki Daizu
PI507575,VI,D,W,T,Sa,Ssp,Br,I,Y,Br,42.8,18.9,58.3,7.2,492323.0,621.0,1003.0,51.0,1003.0,2.0,3.5,24.9,1.69,Zairaishu 1
PI507576,VIII,D,P,T,A,N,Br,I,Y,Br,44.0,17.4,56.2,7.4,491454.0,807.0,1024.0,88.0,1024.0,2.5,2.8,15.9,1.8,Zairaishu 2
PI507577,VI,D,P,G,E,N,Br,I,Y,Y,42.7,20.6,54.1,6.5,491453.0,712.0,1007.0,66.0,1007.0,1.5,2.8,26.2,1.04,Zairaishu Igu
PI507578,V,D,P,G,E,Ssp,Br,I,Y,Y,43.7,19.2,52.0,5.6,492323.0,627.0,928.0,75.0,928.0,2.5,3.5,19.2,1.35,Zairaishu Ogura Kei
PI507579,VI,D,P,T,Sa,N,Br,I,Gn,Bl,44.1,16.7,57.2,7.2,491453.0,719.0,1020.0,73.0,1020.0,3.0,2.3,23.2,1.01,Zairaishu Shiojiri
PI507674,0,D,P,G,E,N,Tn,I,Y,Bf,43.6,17.9,50.4,9.1,492169.0,704.0,831.0,56.0,831.0,2.0,1.0,19.1,1.75,Belosnezka
PI507675,0,D,P,T,E,N,Tn,I,Y,Br,42.7,19.0,51.8,10.4,492169.0,711.0,901.0,58.0,901.0,2.5,1.0,14.3,1.77,Beregovcanka
PI507684,II,D,W,T,E,N,Br,I,Y,Br,42.9,18.4,55.1,7.7,492170.0,714.0,913.0,64.0,913.0,1.5,2.3,13.6,3.39,Kazahstanskaja 5
PI507686B,0,D,W,T,E,N,Br,D,Y,Br,42.5,19.4,57.1,9.8,492169.0,709.0,915.0,78.0,915.0,3.5,1.0,16.7,1.69,Kisinjevskaja 19
PI507688,0,D,P,T,E,N,Br,I,Br,Br,41.9,16.0,56.8,11.4,492169.0,705.0,910.0,58.0,910.0,4.0,1.3,9.4,1.28,KSHI 711
PI507690,V,D,P,G,E,N,Tn,I,Y,Y,38.7,21.3,55.5,5.4,492323.0,701.0,924.0,70.0,924.0,3.0,2.3,15.1,3.3,Mocinave 7
PI507705,0,D,P,T,E,N,Br,I,Y,Y,41.8,19.4,52.7,9.0,492169.0,630.0,901.0,72.0,901.0,3.5,1.3,14.6,2.36,Veselka
PI507706,0,D,P,T,E,N,Br,I,Y,Br,42.8,20.0,57.1,8.8,492169.0,702.0,911.0,60.0,911.0,2.0,1.0,15.7,2.56,Veselovskaia 1
PI507709,I,D,P,T,E,N,Br,S,Y,Bl,45.5,21.1,54.1,7.0,492170.0,705.0,905.0,60.0,905.0,1.3,1.8,13.9,2.76,VNIIMK 15
PI507712,0,D,P,T,E,N,Br,S,Y,Bl,45.2,18.2,52.0,8.0,492169.0,701.0,911.0,82.0,911.0,3.5,1.0,17.5,1.84,Volna
PI507715B,0,D,P,T,E,N,Br,I,Y,Br,43.4,17.3,53.1,10.8,492169.0,703.0,903.0,72.0,903.0,3.5,1.0,15.4,1.39,Zaznica
PI507718A,II,D,P,G,Sa,N,Br,I,Y,Bf,44.3,17.8,50.8,7.1,492170.0,717.0,913.0,45.0,913.0,1.5,1.8,12.3,2.64,
PI507718B,IV,D,P,G,E,Ssp,Tn,I,Y,Y,49.5,16.7,55.0,8.4,492170.0,720.0,1006.0,56.0,1006.0,1.5,2.8,11.7,1.89,
PI508266,VI,D,W,G,E,N,Tn,I,Y,Bf,45.0,19.0,57.6,7.0,491453.0,724.0,1009.0,78.0,1009.0,3.0,2.0,10.9,1.56,Young
PI508267,VIII,D,P,T,Sa,N,Tn,S,Y,Bl,41.5,20.1,58.0,7.1,491454.0,725.0,1029.0,99.0,1029.0,2.5,1.8,14.8,2.84,Johnston
PI508268,V,D,P,G,E,N,Tn,D,Y,Y,41.4,20.8,51.2,6.0,492374.0,623.0,925.0,63.0,925.0,1.5,3.0,16.0,2.72,Toano
PI508269,IV,D,P,G,E,N,Tn,D,Y,Ib,40.6,19.5,62.9,8.1,26002.0,731.0,1023.0,101.0,1023.0,2.1,1.7,11.3,2.74,Stafford
PI508293,IV,D,P,G,A,N,Br,I,Y,Bf,47.4,17.1,53.9,9.1,492170.0,729.0,1001.0,74.0,1001.0,2.8,2.0,10.8,2.36,
PI508294,V,D,P,G,Sa,Ssp,Tn,I,Y,Bf,46.8,18.2,55.8,6.9,492323.0,703.0,919.0,62.0,919.0,3.0,2.3,9.0,2.78,
PI508295,V,D,P,G,Sa,N,Br,I,Y,Bf,44.9,18.7,56.8,5.1,492323.0,625.0,917.0,57.0,917.0,3.0,2.0,10.3,2.71,
PI508296A,IV,D,W,G,A,N,Tn,I,Y,Y,47.7,16.9,52.6,8.0,492170.0,722.0,927.0,60.0,927.0,2.8,2.0,14.6,1.62,Kumjong kong or Maeju kong
PI508296B,IV,D,W,G,E,N,Tn,I,Y,Bf,49.0,17.7,50.5,7.3,492170.0,722.0,927.0,75.0,927.0,2.3,2.3,17.7,1.9,Kumjong kong or Maeju kong
PI508296E,IV,D,P,G,E,Ssp,Br,I,Y,Bf,51.1,13.8,54.1,9.2,492170.0,802.0,1006.0,107.0,1006.0,3.8,2.3,11.1,0.93,Kumjong kong or Maeju kong
PI508296H,IV,D,P,G,E,Ssp,Br,I,Y,Bf,51.5,14.4,54.1,8.8,492170.0,803.0,1007.0,101.0,1007.0,3.5,2.5,11.8,1.11,Kumjong kong or Maeju kong
PI508297,V,D,P,T,Sa,N,Tn,I,Y,Y,45.6,19.8,53.8,5.0,492323.0,626.0,918.0,40.0,918.0,3.0,3.0,8.0,2.25,
PI508298,V,D,P,T,A,Ssp,Bl,B,Bl,Bl,48.9,18.1,57.6,6.3,492323.0,701.0,918.0,52.0,918.0,3.0,2.3,13.8,1.83,
PI509075,IV,D,P,T,E,Ssp,Br,I,Gnbr,Br,48.3,19.8,52.8,7.2,492170.0,728.0,1020.0,78.0,1020.0,2.8,2.0,18.4,1.95,
PI509076,V,D,W,T,Sa,N,Bl,I,Gn,Brbl,47.1,16.3,55.4,6.4,492323.0,703.0,921.0,60.0,921.0,4.5,2.8,7.9,1.1,
PI509078,V,D,P,T,Sa,Ssp,Br,I,Bl,Bl,47.1,20.5,45.8,4.2,492323.0,625.0,830.0,59.0,830.0,2.5,3.0,27.1,2.68,
PI509080,V,D,W,T,Sa,Ssp,Bl,I,Gn,Bl,48.3,16.0,54.8,6.0,492323.0,704.0,923.0,62.0,923.0,4.0,2.3,6.7,1.22,
PI509081,V,D,P,T,Sa,Ssp,Br,I,Gn,Bl,47.1,19.5,51.3,6.5,492323.0,627.0,929.0,53.0,929.0,2.5,3.3,29.5,1.68,
PI509082,VI,D,P,G,Sa,Ssp,Br,I,Y,Ig,46.7,18.2,51.7,6.8,492319.0,709.0,1008.0,54.0,1008.0,2.0,3.2,22.8,1.27,
PI509083,IV,D,P,T,E,Ssp,Br,I,Bl,Bl,47.8,15.3,53.0,8.3,492170.0,730.0,1025.0,76.0,1025.0,3.0,2.8,22.3,1.51,
PI509084,VI,D,P,G,E,N,Br,I,Bf,Bf,48.2,17.4,54.3,6.8,491453.0,713.0,1007.0,54.0,1007.0,1.5,2.3,24.5,1.02,
PI509085,IV,D,P,T,E,Ssp,Br,I,Bl,Bl,47.6,15.4,54.8,8.9,492170.0,730.0,1022.0,72.0,1022.0,3.3,2.8,23.4,1.66,
PI509086,VI,D,P,T,E,N,Br,I,Br,Br,41.6,19.4,51.8,7.3,491453.0,713.0,1010.0,55.0,1010.0,1.0,2.3,28.2,0.77,
PI509087,IV,D,P,G,E,Ssp,Br,I,Y,Y,46.2,19.1,54.0,8.3,492170.0,803.0,1026.0,87.0,1026.0,3.3,2.8,17.6,1.36,
PI509089,IV,D,P,T,E,Ssp,Tn,I,Y,Br,49.1,17.2,52.7,9.0,492170.0,806.0,1023.0,72.0,1023.0,3.5,2.5,10.2,1.73,
PI509090,VI,D,W,T,Sa,N,Tn,I,Y,Bl,45.9,16.1,54.5,7.6,491453.0,724.0,1007.0,68.0,1007.0,4.0,2.3,8.3,1.05,
PI509091A,V,D,W,G,A,Ssp,Tn,I,Y,Bf,46.1,18.5,55.7,6.6,492323.0,621.0,917.0,56.0,917.0,2.0,3.0,17.2,1.95,
PI509091B,V,D,W,G,Sa,N,Tn,I,Y,Y,44.3,19.1,56.4,6.6,492323.0,626.0,917.0,35.0,917.0,2.5,2.3,12.4,1.78,
PI509092,V,D,P,G,E,Ssp,Br,I,Gn,Bf,42.8,20.1,58.8,6.8,492323.0,621.0,919.0,64.0,919.0,3.0,2.8,17.4,2.24,
PI509093,VI,D,P,T,E,Ssp,Br,I,Gn,Bl,43.7,19.2,45.6,6.9,491453.0,714.0,1007.0,55.0,1007.0,1.0,2.3,30.8,0.62,
PI509095,VII,D,P,G,E,N,Tn,I,Y,Ib,44.2,19.9,55.8,7.9,491454.0,726.0,1014.0,82.0,1014.0,1.0,1.5,12.3,2.52,
PI509096,V,D,P,T,Sa,Ssp,Br,I,Bl,Bl,42.7,21.5,57.4,7.2,492323.0,621.0,919.0,49.0,919.0,2.0,3.0,19.2,1.91,
PI509097,V,D,W,T,Sa,Ssp,Tn,D,Y,Bl,46.5,19.6,52.9,5.2,492323.0,629.0,917.0,49.0,917.0,4.0,3.3,10.4,1.64,
PI509098,V,D,P,G,E,Ssp,Tn,I,Y,Y,45.4,19.2,55.1,5.7,492323.0,623.0,920.0,41.0,920.0,2.5,3.0,8.0,2.26,
PI509099,V,D,P,T,Sa,Ssp,Br,I,Bl,Bl,42.4,20.1,57.3,6.8,492323.0,626.0,928.0,46.0,928.0,3.0,3.3,18.4,1.81,
PI509100,VII,D,P,G,E,N,Tn,I,Lgn,Ib,43.3,20.0,55.5,7.7,491454.0,726.0,1018.0,83.0,1018.0,1.0,1.8,12.2,2.53,
PI509101,V,D,P,T,A,Ssp,Br,I,Br,Br,40.8,18.8,55.7,7.6,492323.0,709.0,930.0,41.0,930.0,2.0,2.5,11.9,2.04,
PI509102,VI,D,P,T,E,Ssp,Tn,I,G,G,43.2,19.0,54.1,7.6,491453.0,713.0,1007.0,57.0,1007.0,2.5,2.3,18.7,0.99,
PI509103,V,D,P,T,Sa,N,Bl,I,Rbr,Rbr,42.5,19.1,62.2,7.7,492323.0,626.0,919.0,59.0,919.0,3.0,2.8,16.0,2.66,
PI509105,IV,D,P,G,E,Ssp,Br,I,Y,Y,46.3,18.8,54.8,8.3,492170.0,730.0,1022.0,84.0,1022.0,4.0,2.3,17.1,2.05,
PI509106,V,D,P,T,Sa,Ssp,Br,I,Ggn,Ggn,42.6,20.6,58.6,7.5,492323.0,701.0,917.0,59.0,917.0,2.0,3.0,13.2,2.29,
PI509109,V,D,P,G,E,N,Br,D,Gn,Bf,43.6,19.9,56.0,6.6,492323.0,626.0,919.0,59.0,919.0,3.0,3.3,18.7,1.81,
PI509110A,V,D,P,G,Sa,Ssp,Br,I,Gn,Gn,44.1,20.5,56.1,6.2,492323.0,621.0,916.0,40.0,916.0,2.5,3.3,25.0,2.08,
PI509110B,V,D,P,T,E,Ssp,Br,D,Ggn,G,49.4,19.2,54.6,6.0,492323.0,626.0,919.0,44.0,919.0,3.0,3.5,25.3,1.28,
PI509111,IV,D,P,T,E,Ssp,Br,I,Gn,Bl,47.0,19.0,53.8,8.5,492170.0,801.0,1015.0,74.0,1015.0,3.3,2.8,16.8,1.48,
PI509112,IV,D,P,G,A,N,Bl,I,Gn,Bf,42.1,20.7,51.8,11.3,492170.0,816.0,1023.0,66.0,1023.0,3.3,2.5,6.6,0.9,
PI510675,VII,D,P,G,E,N,Tn,S,Y,Ib,44.8,18.4,55.9,8.0,491454.0,721.0,1022.0,89.0,1022.0,2.0,2.0,10.8,2.79,Gregg
PI511813,VI,D,P,T,A,N,Tn,S,Y,Bl,43.1,19.8,55.9,7.2,491453.0,712.0,1002.0,69.0,1002.0,2.5,2.0,10.3,1.4,Twiggs
PI514672,0,D,P,G,E,N,Br,D,Y,Y,42.0,19.6,54.3,9.2,492169.0,630.0,901.0,54.0,901.0,1.5,1.0,20.0,1.78,Hei he 54
PI515960,VI,D,W,T,E,N,Tn,I,Y,Bl,46.4,17.7,49.0,6.8,491453.0,721.0,1012.0,120.0,1012.0,3.5,2.3,11.3,1.39,Sharkey
PI518290,IV,D,P,G,A,N,Tn,I,Y,Lbf,43.4,19.0,54.2,9.3,492170.0,729.0,1009.0,88.0,1009.0,2.8,2.0,12.9,1.94,
PI518295,VII,D,W,T,A,N,Br,I,Y,Br,44.9,17.1,55.6,8.8,491454.0,719.0,1025.0,107.0,1025.0,2.0,3.0,19.3,2.16,
PI518297,VI,D,W,T,E,N,Tn,I,Y,Br,45.8,16.7,57.4,8.3,491453.0,725.0,1009.0,105.0,1009.0,2.5,2.3,11.6,1.18,
PI518664,V,D,W,G,Sa,N,Tn,D,Y,Bf,41.5,19.3,56.8,7.1,492319.0,711.0,929.0,69.0,929.0,2.0,2.0,14.5,3.74,Hutcheson
PI518665,VII,D,W,T,E,N,Tn,S,Y,Bl,41.4,19.3,56.8,7.3,491454.0,801.0,1021.0,139.0,1021.0,4.0,2.5,11.8,2.15,Padre
PI518703,I,D,W,G,E,Ssp,Br,D,Y,Y,46.3,21.0,48.0,5.7,492170.0,701.0,830.0,52.0,830.0,1.0,2.8,15.9,2.53,He feng 25
PI518704,0,D,P,G,E,N,Br,D,Y,Y,42.7,19.7,52.4,8.8,492169.0,630.0,904.0,64.0,904.0,1.5,1.3,21.8,2.25,Hei he No. 5
PI518712,III,D,W,G,E,Ssp,Br,I,Y,Lbf,41.1,19.7,50.7,6.5,492170.0,716.0,925.0,71.0,925.0,1.5,2.5,21.1,3.52,Kai yu No. 8
PI518715,III,D,P,G,E,N,Br,I,Y,Y,42.5,20.5,52.3,7.7,492170.0,717.0,925.0,70.0,925.0,1.5,2.5,16.6,3.21,Tie feng 18
PI518718A,III,D,W,T,Sa,N,Br,I,Y,Br,42.4,18.0,52.9,7.6,492170.0,721.0,923.0,60.0,923.0,1.5,1.8,14.3,3.27,Lu dou No. 4
PI518722,VII,D,W,G,Sa,Ssp,Tn,I,Y,Bf,44.2,17.3,55.0,7.0,491454.0,725.0,1009.0,92.0,1009.0,1.0,2.5,16.2,2.38,Nan nong 493-1
PI518723,V,D,W,G,A,Ssp,Tn,I,Y,Bf,47.0,17.5,44.9,4.6,492323.0,704.0,927.0,88.0,927.0,3.0,3.0,13.2,1.82,Su xie No. 1
PI518727,VI,D,P,T,A,N,Tn,I,Y,Bl,46.5,17.3,50.7,6.9,491453.0,724.0,1006.0,100.0,1006.0,3.0,2.3,18.5,1.15,Ju huang
PI518756,VII,D,W,T,E,Sdn,Tn,I,Y,Y,45.9,15.0,57.2,9.3,491454.0,808.0,1017.0,109.0,1017.0,3.0,2.0,7.4,2.06,Centenaria
PI518758,I,D,P,G,Sa,N,Br,I,Y,Y,41.9,23.0,50.4,6.4,492170.0,709.0,911.0,47.0,911.0,1.3,2.3,26.0,2.22,Kaohsiung 1
PI518825,V,D,W,G,Sa,Ssp,Br,I,Rbf,Ib,44.5,18.1,55.8,6.9,492323.0,621.0,1002.0,37.0,1002.0,2.0,3.8,26.2,0.78,Aka mame
PI518833,VI,D,P,G,Sa,N,Tn,I,Y,Y,44.3,16.4,55.9,7.2,492323.0,701.0,1003.0,54.0,1003.0,3.0,3.0,7.7,2.45,
PI520732,VI,D,P,T,Sa,N,Br,I,Rbr,Rbr,44.9,19.3,51.7,6.7,491453.0,713.0,1007.0,50.0,1007.0,1.0,2.3,25.7,1.07,
PI520733,IV,D,W,G,Sa,Ssp,Tn,I,Y,Y,45.0,19.3,56.1,7.9,492170.0,720.0,1013.0,62.0,1013.0,1.5,3.0,26.0,2.29,
PI522186,0,D,P,T,E,N,Br,S,Y,Br,44.1,18.9,54.5,8.7,492169.0,706.0,911.0,76.0,911.0,2.5,1.0,16.1,2.38,Arkadia Odessaja
PI522188A,I,D,P,T,E,N,Br,S,Y,Brbl,44.2,17.7,46.5,8.8,492169.0,713.0,918.0,84.0,918.0,2.5,2.0,16.5,1.77,VNIIMK 3985
PI522188B,0,D,W,T,E,N,Br,S,Y,Brbl,44.0,18.7,47.6,8.9,492169.0,709.0,915.0,75.0,915.0,2.0,2.0,16.5,1.9,VNIIMK 3985
PI522236,VII,D,P,T,E,N,Tn,S,Y,Bl,44.8,17.0,56.6,7.3,491454.0,725.0,1015.0,101.0,1015.0,1.0,2.0,14.1,2.46,Thomas
PI525492,II,D,W,T,E,Ssp,Br,S,Bl,Bl,42.8,18.1,48.6,5.7,492170.0,711.0,911.0,56.0,911.0,1.0,2.0,25.5,2.46,
PI531068,VII,D,W,T,E,N,Tn,D,Y,Bl,43.8,19.4,58.0,6.8,491454.0,716.0,1014.0,92.0,1014.0,1.0,2.0,13.3,2.89,Stonewall
PI532436A,0,D,W,G,E,N,Br,I,Y,Y,41.7,19.9,51.8,8.9,492169.0,702.0,908.0,68.0,908.0,3.5,1.0,19.3,2.18,He feng No. 6
PI532437,IV,D,W,G,E,Ssp,Br,I,Gn,Gn,45.8,18.6,54.7,8.4,492170.0,723.0,1011.0,99.0,1011.0,3.0,2.5,21.7,2.78,Gu nian dou
PI532439,I,D,W,G,E,Ssp,Br,S,Y,Y,46.1,21.9,51.3,7.1,492170.0,707.0,907.0,39.0,907.0,1.0,2.0,18.1,2.53,Fusong you xian bai hua
PI532442,III,D,W,G,E,N,Br,S,Y,Y,43.8,20.1,52.8,7.8,492170.0,720.0,1005.0,94.0,1005.0,1.8,2.3,20.9,3.32,Bai mao zi
PI532454,0,D,W,T,Sa,N,Tn,I,Bl,Bl,47.3,16.8,51.9,9.8,492169.0,718.0,914.0,72.0,914.0,3.0,1.3,16.0,1.67,Tai xing hei dou
PI532455B,IV,D,W,G,E,N,Br,I,Y,Bf,48.2,16.6,53.2,8.6,492170.0,803.0,1025.0,100.0,1025.0,2.0,2.0,12.5,2.21,Dan yang bai hua dou
PI532461,VI,D,W,T,Sa,N,Tn,I,Y,Bl,45.6,16.4,53.0,6.1,492319.0,805.0,1014.0,102.0,1014.0,3.0,2.5,18.1,1.94,19-15
PI532462A,III,D,W,G,E,N,Dbr,I,Y,Lbf,45.6,21.3,53.1,6.9,492170.0,714.0,921.0,76.0,921.0,1.3,1.8,17.3,3.39,Fu 51
