acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI181554,III,D,P,T,E,Ssp,Br,S,Y,Tn,42.9,19.8,54.5,8.8,11003.0,722.0,920.0,74.0,920.0,4.0,2.8,15.7,2.28,
PI181555,IV,D,P,T,A,Ssp,Br,S,Y,Br,40.7,18.6,54.8,10.6,11003.0,729.0,1013.0,86.0,1013.0,3.8,2.5,16.7,1.73,
PI181556,VI,D,W,T,A,N,Lbr,I,Y,Br,43.4,19.9,51.1,7.3,491453.0,716.0,1003.0,55.0,1003.0,1.5,2.0,14.8,1.14,
PI181557,IV,D,W,T,Sa,Ssp,Br,S,Y,Bl,45.1,17.3,52.8,10.4,11003.0,727.0,1009.0,79.0,1009.0,3.2,2.3,20.6,1.78,
PI181558,V,D,P,T,A,Ssp,Br,I,Y,Br,41.1,19.0,45.3,6.1,492374.0,619.0,919.0,56.0,919.0,1.5,2.5,14.0,1.58,
PI181559,VI,D,W,T,Sa,N,Br,I,Y,Br,42.0,19.0,53.7,8.0,491453.0,720.0,1005.0,67.0,1005.0,3.0,2.5,12.0,1.22,
PI181560,VII,D,P,T,Sa,N,Br,I,Y,Br,47.0,16.9,55.6,7.1,491454.0,723.0,1021.0,86.0,1021.0,2.0,3.0,17.1,1.87,
PI181561,VI,D,P,G,A,N,Br,D,Y,Bf,43.4,19.1,53.4,6.8,491453.0,716.0,1014.0,78.0,1014.0,2.0,2.8,27.6,1.35,
PI181562,V,D,W,T,A,Ssp,Tn,D,Y,Br,41.6,18.5,50.9,6.8,492374.0,621.0,925.0,50.0,925.0,3.0,2.3,13.6,1.33,
PI181564,VIII,D,P,T,Sa,Ssp,Br,I,Bl,Bl,44.9,16.4,54.2,7.5,491454.0,727.0,1105.0,88.0,1105.0,1.0,2.5,33.3,1.16,
PI181565,VII,D,P,G,A,Ssp,Tn,I,Y,Bf,45.4,17.6,55.9,7.8,491454.0,725.0,1028.0,83.0,1028.0,3.0,3.0,29.8,1.99,
PI181566,VII,D,P,G,A,N,Br,I,Y,Bf,44.7,18.3,55.7,7.2,491454.0,801.0,1029.0,95.0,1029.0,3.0,2.8,19.4,1.78,
PI181567,VIII,D,W,G,A,N,Br,I,Y,Bf,45.9,16.0,58.1,8.2,491454.0,802.0,1105.0,97.0,1105.0,3.0,3.0,15.9,1.81,
PI181568,VII,D,W,G,E,N,Br,I,Gn,Lbf,43.1,19.5,57.1,6.9,491454.0,729.0,1027.0,108.0,1027.0,3.0,2.5,15.5,2.95,
PI181569,VII,D,P,T,A,N,Tn,I,Bl,Bl,44.5,17.3,54.2,6.9,491454.0,729.0,1101.0,94.0,1101.0,2.0,2.5,28.6,1.28,
PI181570,I,D,P,G,Sa,N,Tn,D,Y,Bf,41.4,15.1,43.6,8.5,11002.0,719.0,908.0,66.0,908.0,2.8,2.5,12.6,1.29,
PI184043,I,D,P,T,E,N,Br,D,Y,Br,36.8,19.8,45.8,7.1,11002.0,630.0,904.0,79.0,904.0,3.2,2.8,10.0,1.84,M7
PI184044,I,D,P,T,E,N,Br,S,Y,Bl,37.1,21.5,48.8,7.5,11002.0,702.0,909.0,79.0,909.0,2.1,3.0,15.1,2.29,Kasnija Br. 443
PI184045,I,D,P,T,E,N,Br,D,Y,Br,35.9,20.8,46.5,7.2,11002.0,630.0,901.0,76.0,901.0,3.3,3.0,10.4,1.92,M 14
PI187150,IV,D,P,T,Sa,N,Tn,S,Y,Br,42.0,18.9,51.7,8.9,11003.0,728.0,1013.0,94.0,1013.0,4.0,2.5,16.0,1.76,Akagara
PI187152,III,D,P,-,C,N,Tn,S,Y,Bf,40.2,19.7,51.1,9.5,11003.0,724.0,1002.0,66.0,1002.0,2.8,2.5,12.9,1.33,Kimusume Ibaroki No. 1
PI187153,III,D,W,G,Sa,Ssp,Tn,D,Y,Y,43.5,18.9,51.3,10.1,11003.0,718.0,918.0,69.0,918.0,3.8,3.0,24.0,1.39,Omejiro
PI187154,VII,D,P,T,A,Ssp,Br,I,Bl,Bl,42.1,17.2,53.2,7.1,491454.0,718.0,1030.0,79.0,1030.0,2.0,3.0,32.8,1.34,Tambagura
PI187155,V,D,W,G,E,Ssp,Br,D,Y,Y,44.3,17.7,52.6,6.2,492374.0,617.0,921.0,46.0,921.0,2.5,3.8,22.7,1.66,Urusan
PI187156,VI,D,W,G,A,Ssp,Br,I,Y,Bf,44.8,16.6,51.1,7.1,491453.0,720.0,1007.0,74.0,1007.0,2.0,2.0,13.1,1.38,Urusan
PI189874,0,D,W,T,E,N,Br,S,Rbr,Rbr,44.3,16.6,37.6,7.4,11001.0,709.0,907.0,66.0,907.0,2.5,3.0,19.0,0.32,Ochroleuca
PI189876,0,D,P,G,E,N,Tn,D,Y,Y,40.7,18.5,44.3,6.9,11001.0,708.0,915.0,56.0,915.0,2.0,3.0,18.5,1.49,Weka
PI189877,0,D,P,G,E,N,Br,D,Y,Y,46.4,17.5,39.7,6.3,11001.0,707.0,909.0,48.0,909.0,2.0,3.5,25.1,1.06,SS
PI189879,0,D,P,G,E,Ssp,Br,D,Y,Y,47.1,17.0,41.6,5.6,11001.0,705.0,912.0,51.0,912.0,2.0,3.5,27.1,0.79,Tulowka
PI189892,I,D,P,G,E,N,Br,S,Y,Y,37.0,20.4,43.7,6.4,11002.0,629.0,902.0,76.0,902.0,1.3,2.5,14.5,2.45,Reoz 20bis
PI189896,I,D,P,T,E,Ssp,Br,D,Y,Br,38.7,22.6,45.1,5.3,11002.0,704.0,903.0,64.0,903.0,2.4,3.0,16.4,1.94,Giessner Stamm 63
